CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
6477010,1,1,4,M,16,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6477030,1,1,4,M,53,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6480172,1,1,4,M,53,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6480175,2,1,3,M,4,3,9,P,-,3,"SAN DIEGO","SAN DIEGO",2014
6480186,2,1,4,M,43,4,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6480189,1,1,4,M,52,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6480197,2,1,4,M,24,3,9,W,-,0,"SAN DIEGO","SAN DIEGO",2014
6480199,1,1,4,F,60,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6480250,1,1,4,M,36,3,9,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6480260,1,1,4,M,47,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6481139,1,1,1,M,998,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6481139,2,1,4,M,49,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6482433,1,1,4,M,11,3,1,M,W,0,"SAN DIEGO","SAN DIEGO",2014
6486018,1,1,4,M,19,3,1,-,-,1,"SAN DIEGO","SAN DIEGO",2014
6486028,1,1,4,M,25,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6486028,2,1,2,M,22,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6486032,1,1,4,M,63,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6486044,2,1,4,M,44,4,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6486056,1,1,4,M,60,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6486069,2,1,4,M,41,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6486109,1,1,4,M,57,2,1,P,-,1,"SAN DIEGO","SAN DIEGO",2014
6486109,2,1,4,M,50,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6491482,1,1,4,M,45,3,1,V,-,1,"SAN DIEGO","SAN DIEGO",2014
6491571,2,1,4,M,46,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6491583,1,1,4,-,22,4,9,P,-,3,"SAN DIEGO","SAN DIEGO",2014
6491822,1,1,4,F,31,2,1,W,-,2,"SAN DIEGO","SAN DIEGO",2014
6491868,1,1,4,M,48,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6491868,2,1,2,F,26,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6491868,2,2,2,F,79,0,6,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6491880,2,1,4,F,25,3,1,P,V,2,"SAN DIEGO","SAN DIEGO",2014
6494289,1,1,4,F,17,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6495365,1,1,4,M,55,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6495365,2,1,4,F,52,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6495382,1,1,4,M,40,3,1,V,-,1,"SAN DIEGO","SAN DIEGO",2014
6495382,2,1,2,F,83,0,3,G,-,0,"SAN DIEGO","SAN DIEGO",2014
6495386,1,1,4,M,62,3,1,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6495410,1,1,4,M,26,4,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6495418,1,1,4,-,25,4,9,-,V,3,"SAN DIEGO","SAN DIEGO",2014
6495511,1,1,4,M,19,3,1,V,-,1,"SAN DIEGO","SAN DIEGO",2014
6495511,2,1,2,M,3,0,4,P,Q,0,"SAN DIEGO","SAN DIEGO",2014
6495511,2,2,2,M,5,0,6,P,Q,0,"SAN DIEGO","SAN DIEGO",2014
6495515,1,1,4,F,21,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6501130,1,1,4,M,52,4,9,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6501146,1,1,4,M,50,3,1,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6501154,1,1,4,-,15,4,9,P,V,3,"SAN DIEGO","SAN DIEGO",2014
6501162,1,1,2,F,998,0,3,M,G,0,"SAN DIEGO","SAN DIEGO",2014
6501162,2,1,4,F,28,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
6501193,1,1,4,M,43,3,1,P,Y,1,"SAN DIEGO","SAN DIEGO",2014
6501197,1,1,4,M,45,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6502357,1,1,4,M,33,4,9,P,W,0,"SAN DIEGO","SAN DIEGO",2014
6504291,1,1,4,M,57,2,1,L,W,0,"SAN DIEGO","SAN DIEGO",2014
6505537,1,1,4,M,44,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6505550,1,1,4,M,41,3,1,P,W,1,"SAN DIEGO","SAN DIEGO",2014
6505565,1,1,4,M,68,3,1,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6505572,2,1,4,F,34,4,1,W,-,3,"SAN DIEGO","SAN DIEGO",2014
6505576,1,1,4,F,35,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6505576,1,2,2,M,3,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6505598,1,1,4,M,22,4,9,P,V,0,"SAN DIEGO","SAN DIEGO",2014
6505606,1,1,2,M,4,3,0,P,X,3,"SAN DIEGO","SAN DIEGO",2014
6505610,2,1,4,M,46,3,9,-,-,3,"SAN DIEGO","SAN DIEGO",2014
6505618,1,1,4,M,27,3,1,P,V,1,"SAN DIEGO","SAN DIEGO",2014
